"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 22 18:56:22 UTC 2026","Sun Mar 22 18:56:27 UTC 2026","4919","UI Suite","Authorization Tests","com.demoqa.automation.tests.tests.ui.AuthorizationTest","com.demoqa.automation.tests.tests.ui.AuthorizationTest","userCanLoginWithValidCredentials","Verify user can login with valid credentials","Verify that user can login and is redirected to profile page"
"passed","Sun Mar 22 18:55:45 UTC 2026","Sun Mar 22 18:55:47 UTC 2026","1920","API Suite","Authorization Tests","com.demoqa.automation.tests.tests.api.AuthorizationTest","com.demoqa.automation.tests.tests.api.AuthorizationTest","testLogin","Verify user login is successful","Verify that user can login with valid credentials"
"passed","Sun Mar 22 18:56:31 UTC 2026","Sun Mar 22 18:56:35 UTC 2026","4309","UI Suite","Authorization Tests","com.demoqa.automation.tests.tests.ui.BookStoreTest","com.demoqa.automation.tests.tests.ui.BookStoreTest","userCanSearchBook","Verify user can search a book in Book Store","Verify that user can find a specific book in Book Store search"
"passed","Sun Mar 22 18:55:51 UTC 2026","Sun Mar 22 18:55:54 UTC 2026","3432","API Suite","Book Store Tests","com.demoqa.automation.tests.tests.api.BookStoreTest","com.demoqa.automation.tests.tests.api.BookStoreTest","testAddBook","Verify authorized user can add a book",""
"passed","Sun Mar 22 18:55:41 UTC 2026","Sun Mar 22 18:55:45 UTC 2026","4490","API Suite","Authorization Tests","com.demoqa.automation.tests.tests.api.AuthorizationTest","com.demoqa.automation.tests.tests.api.AuthorizationTest","testGenerateTokenEndpointWithInvalidPassword","Verify generateToken endpoint returns Failed status",""
"passed","Sun Mar 22 18:56:10 UTC 2026","Sun Mar 22 18:56:13 UTC 2026","2693","API Suite","Book Store Tests","com.demoqa.automation.tests.tests.api.BookStoreTest","com.demoqa.automation.tests.tests.api.BookStoreTest","testGetBooks","Verify books list is not empty",""
"passed","Sun Mar 22 18:56:27 UTC 2026","Sun Mar 22 18:56:30 UTC 2026","3117","UI Suite","Authorization Tests","com.demoqa.automation.tests.tests.ui.AuthorizationTest","com.demoqa.automation.tests.tests.ui.AuthorizationTest","userCannotLoginWithInvalidPassword","Verify user cannot login with invalid password","Verify that user cannot login and is remained on login page"
"passed","Sun Mar 22 18:56:03 UTC 2026","Sun Mar 22 18:56:08 UTC 2026","4602","API Suite","Book Store Tests","com.demoqa.automation.tests.tests.api.BookStoreTest","com.demoqa.automation.tests.tests.api.BookStoreTest","testDeleteBooks","Verify authorized user can delete all books",""
"passed","Sun Mar 22 18:56:13 UTC 2026","Sun Mar 22 18:56:14 UTC 2026","932","API Suite","DB Driven Authorization Tests","com.demoqa.automation.tests.tests.api.DbDrivenAuthorizationTest","com.demoqa.automation.tests.tests.api.DbDrivenAuthorizationTest","testLoginUsingDatabaseData","Verify user login is successful with data from DB","Verify that user can login with valid credentials from DB"
"passed","Sun Mar 22 18:55:57 UTC 2026","Sun Mar 22 18:56:00 UTC 2026","2921","API Suite","Book Store Tests","com.demoqa.automation.tests.tests.api.BookStoreTest","com.demoqa.automation.tests.tests.api.BookStoreTest","testAddBookWithInvalidToken","Verify user cannot add book with invalid token",""
